review_id,restaurant_name,cuisine_type,city,rating,delivery_time_mins,order_value_inr,review_text,sentiment_label
ZR-0045,Subway,Italian,Jaipur,3,17,88.0,"Decent meal, not great not terrible, packaging could be improved",Neutral
ZR-0046,Burger King,Continental,Mumbai,4,23,623.0,"Best biryani I have ever ordered, rice was perfectly cooked and portions were generous",Positive
ZR-0047,Chai Point,Chinese,Jaipur,5,58,353.0,"Pasta was cooked perfectly al dente, sauce was rich and creamy",Positive
ZR-0048,KFC,North Indian,Mumbai,2,46,661.0,"Paneer was smelly and clearly not fresh, fell sick after eating",Negative
ZR-0049,The Beer Cafe,North Indian,Delhi,5,76,1168.0,"Best biryani I have ever ordered, rice was perfectly cooked and portions were generous",Neutral
ZR-0050,Wow Momo,South Indian,Bangalore,5,53,637.0,"Arrived hot and fresh, taste was amazing, will definitely order again",Positive
ZR-0051,Paradise Biryani,North Indian,Hyderabad,3,70,121.0,"Food arrived on time, taste was standard, nothing memorable about it",Neutral
ZR-0052,Chai Point,Biryani,Pune,4,16,540.0,"Arrived hot and fresh, taste was amazing, will definitely order again",Positive
ZR-0053,Subway,Biryani,Hyderabad,1,15,348.0,"Noodles were clumped together in one solid block, clearly overcooked",Negative
ZR-0054,KFC,Mughlai,Chennai,2,58,582.0,"Wrong order delivered, called customer care but got no response",Negative
ZR-0055,Paradise Biryani,Mughlai,Mumbai,4,82,171.0,"Healthy salad bowl was fresh and filling, dressing was perfect",Positive
ZR-0056,The Beer Cafe,Italian,Bangalore,3,31,896.0,Packaging was good but taste did not match the ratings shown online,Neutral
ZR-0057,Wow Momo,South Indian,Pune,3,84,527.0,Taste was okay but a bit too salty for my preference,Neutral
ZR-0058,Paradise Biryani,Biryani,Jaipur,5,30,1016.0,"Momos were steaming hot and chutney was perfect, great combo",Positive
ZR-0059,Rebel Foods,Biryani,Mumbai,3,84,859.0,Nothing to complain about but nothing to rave about either,Neutral
ZR-0060,Burger King,Chinese,Bangalore,5,73,327.0,"Paneer butter masala was outstanding, naan was soft and fresh",Positive
ZR-0061,Burger King,Italian,Pune,5,33,471.0,"Fresh ingredients, great taste, zero complaints, highly recommended",Positive
ZR-0062,Haldirams,South Indian,Mumbai,1,47,525.0,"Fried rice was dry and flavourless, seemed like leftover reheated food",Negative
ZR-0063,Mandarin Oak,Biryani,Delhi,4,15,837.0,"Pizza was crispy and loaded with toppings, delivered before estimated time",Neutral
ZR-0064,Rebel Foods,North Indian,Kolkata,5,64,1116.0,"Woke up craving dosa and this place nailed it, crispy and golden",Positive
ZR-0065,Dominos,North Indian,Delhi,5,21,819.0,"Arrived hot and fresh, taste was amazing, will definitely order again",Positive
ZR-0066,Fasoos,Chinese,Kolkata,5,74,372.0,"Chole bhature were fluffy and spicy, exactly what I was craving",Positive
ZR-0067,Chai Point,Fast Food,Mumbai,5,26,705.0,"Fresh ingredients, great taste, zero complaints, highly recommended",Positive
ZR-0068,Mainland China,Fast Food,Bangalore,5,23,392.0,"Ordered for office lunch, entire team loved it, will order again",Positive
ZR-0069,Mandarin Oak,Italian,Delhi,5,94,1085.0,"Dessert was incredible, gulab jamun arrived warm and was not too sweet",Positive
ZR-0070,KFC,Chinese,Mumbai,5,47,799.0,"Quick delivery in just 20 minutes, food was still piping hot",Positive
ZR-0071,Mandarin Oak,Biryani,Hyderabad,1,86,960.0,"Dal was watery with no taste, roti was hard as a rock",Negative
ZR-0072,Wow Momo,Mughlai,Mumbai,5,39,86.0,"Prawns were fresh and gravy was perfectly spiced, excellent seafood",Positive
ZR-0073,Pizza Hut,Fast Food,Jaipur,2,80,855.0,"Quantity was extremely less for the price, felt cheated completely",Negative
ZR-0074,KFC,Continental,Hyderabad,5,55,277.0,"Dal makhani tasted just like restaurant, packaging was very secure",Positive
ZR-0075,The Beer Cafe,Fast Food,Chennai,1,28,444.0,Delivery person was very rude and threw the bag at the door,Negative
ZR-0076,Rebel Foods,North Indian,Pune,5,22,1031.0,"Burger was juicy and well assembled, fries were crispy not soggy",Positive
ZR-0077,Rebel Foods,North Indian,Chennai,5,47,688.0,"Pizza was crispy and loaded with toppings, delivered before estimated time",Positive
ZR-0078,Paradise Biryani,Continental,Pune,4,36,353.0,"South Indian combo was authentic, sambar and chutney were spot on",Positive
ZR-0079,Fasoos,Biryani,Hyderabad,5,65,1079.0,"Coffee arrived hot with great flavour, perfect for a lazy morning",Positive
ZR-0080,Haldirams,Fast Food,Hyderabad,4,35,643.0,"Prawns were fresh and gravy was perfectly spiced, excellent seafood",Positive
ZR-0081,Rebel Foods,Fast Food,Pune,4,78,1048.0,"Arrived hot and fresh, taste was amazing, will definitely order again",Positive
ZR-0082,KFC,Continental,Chennai,3,62,394.0,Portion size was small for the price but taste was satisfactory,Neutral
ZR-0083,Haldirams,Italian,Delhi,1,63,129.0,"Waited 2 hours for delivery, food was cold and looked nothing like photo",Negative
ZR-0084,Subway,Biryani,Delhi,5,44,1148.0,"Ordered for office lunch, entire team loved it, will order again",Positive
ZR-0085,Chai Point,Biryani,Chennai,5,51,1120.0,"Sandwich was fresh and tasty, delivery was quick and contactless",Positive
ZR-0086,Barbeque Nation,Mughlai,Pune,4,67,721.0,"Dessert was incredible, gulab jamun arrived warm and was not too sweet",Positive
ZR-0087,Box8,Chinese,Jaipur,5,77,422.0,"Pasta was cooked perfectly al dente, sauce was rich and creamy",Positive
ZR-0088,Wow Momo,South Indian,Pune,2,47,435.0,"Paneer was smelly and clearly not fresh, fell sick after eating",Negative
ZR-0089,Behrouz Biryani,Chinese,Hyderabad,2,39,522.0,"Noodles were clumped together in one solid block, clearly overcooked",Negative
ZR-0090,Barbeque Nation,South Indian,Jaipur,5,81,718.0,"Best biryani I have ever ordered, rice was perfectly cooked and portions were generous",Positive
ZR-0091,Social,Continental,Hyderabad,1,46,832.0,"Dal was watery with no taste, roti was hard as a rock",Negative
ZR-0092,Haldirams,South Indian,Mumbai,3,41,411.0,"Food arrived on time, taste was standard, nothing memorable about it",Neutral
ZR-0093,Mainland China,North Indian,Jaipur,3,47,233.0,Delivery was prompt but food quality was just average honestly,Neutral
ZR-0094,Oven Story,Mughlai,Bangalore,5,53,409.0,"Dal makhani tasted just like restaurant, packaging was very secure",Positive
ZR-0095,Paradise Biryani,Mughlai,Pune,5,64,1051.0,"Pasta was cooked perfectly al dente, sauce was rich and creamy",Positive
ZR-0096,Mandarin Oak,Mughlai,Kolkata,5,21,642.0,"Woke up craving dosa and this place nailed it, crispy and golden",Positive
ZR-0097,Wow Momo,Biryani,Jaipur,5,79,159.0,"Woke up craving dosa and this place nailed it, crispy and golden",Positive
ZR-0098,Burger King,Italian,Jaipur,4,28,1077.0,"Delivery executive was very courteous, food was well packed and tasty",Positive
ZR-0099,Burger King,Italian,Chennai,3,80,571.0,Acceptable quality but overpriced compared to similar options nearby,Neutral
ZR-0100,Oven Story,Chinese,Bangalore,5,65,601.0,"Fried rice was amazing, portions were huge and price was fair",Positive
ZR-0101,Box8,Italian,Delhi,4,36,742.0,"Dal makhani tasted just like restaurant, packaging was very secure",Positive
ZR-0102,Fasoos,Continental,Jaipur,1,66,123.0,"Dal was watery with no taste, roti was hard as a rock",Negative
ZR-0103,Saravana Bhavan,North Indian,Kolkata,3,74,446.0,Delivery was prompt but food quality was just average honestly,Neutral
ZR-0104,Subway,Biryani,Pune,5,74,322.0,"Burger was juicy and well assembled, fries were crispy not soggy",Positive
ZR-0105,Wow Momo,Mughlai,Hyderabad,4,82,1023.0,"Dessert was incredible, gulab jamun arrived warm and was not too sweet",Positive
ZR-0106,KFC,Continental,Mumbai,2,61,863.0,Delivery person was very rude and threw the bag at the door,Negative
ZR-0107,Barbeque Nation,Chinese,Kolkata,2,30,1173.0,"Noodles were clumped together in one solid block, clearly overcooked",Negative
ZR-0108,Saravana Bhavan,Continental,Mumbai,4,44,126.0,"Paneer butter masala was outstanding, naan was soft and fresh",Positive
ZR-0109,Oven Story,Continental,Bangalore,4,33,572.0,"Chole bhature were fluffy and spicy, exactly what I was craving",Positive
ZR-0110,KFC,Continental,Chennai,1,76,1016.0,Charged extra on bill compared to what was shown on the menu,Negative
ZR-0111,Burger King,Continental,Pune,5,15,274.0,"Loved every bite, quantity was good and price was very reasonable",Positive
ZR-0112,Box8,Biryani,Kolkata,2,48,349.0,"Never using Zomato again, third bad experience in a row this month",Negative
ZR-0113,Wow Momo,Fast Food,Mumbai,1,15,1149.0,"Burger patty was raw in the middle, completely unacceptable hygiene",Negative
ZR-0114,Wow Momo,North Indian,Mumbai,5,77,568.0,"Delivery executive was very courteous, food was well packed and tasty",Positive
ZR-0115,Oven Story,Italian,Delhi,5,81,357.0,"Loved every bite, quantity was good and price was very reasonable",Positive
ZR-0116,Burger King,Mughlai,Hyderabad,3,71,463.0,Acceptable quality but overpriced compared to similar options nearby,Neutral
ZR-0117,Pizza Hut,Chinese,Bangalore,1,61,126.0,"Never using Zomato again, third bad experience in a row this month",Negative
ZR-0118,Subway,Continental,Chennai,5,83,611.0,"Excellent food quality, delivery partner was polite and on time",Positive
ZR-0119,Pizza Hut,South Indian,Hyderabad,1,62,984.0,"Received completely different restaurant food, mix up ruined our dinner",Negative
ZR-0120,Dominos,North Indian,Bangalore,3,37,134.0,"Average experience overall, food was lukewarm when it arrived",Neutral
ZR-0121,The Beer Cafe,South Indian,Pune,5,48,372.0,"Sandwich was fresh and tasty, delivery was quick and contactless",Positive
ZR-0122,Rebel Foods,Mughlai,Kolkata,1,33,644.0,"Food was extremely oily and heavy, felt sick immediately after eating",Negative
ZR-0123,Haldirams,Chinese,Jaipur,5,83,846.0,"Dessert was incredible, gulab jamun arrived warm and was not too sweet",Positive
ZR-0124,Barbeque Nation,Mughlai,Chennai,4,94,800.0,"Quick delivery in just 20 minutes, food was still piping hot",Positive
ZR-0125,Wow Momo,Fast Food,Chennai,1,46,1133.0,"Dal was watery with no taste, roti was hard as a rock",Negative
ZR-0126,Barbeque Nation,Italian,Jaipur,4,64,722.0,"Arrived hot and fresh, taste was amazing, will definitely order again",Positive
ZR-0127,Behrouz Biryani,Fast Food,Kolkata,2,75,691.0,"App showed 30 mins but took 2 hours, no update or apology given",Negative
ZR-0128,Chai Point,Mughlai,Delhi,5,81,999.0,"Thali was wholesome and filling, loved the variety of dishes included",Positive
ZR-0129,Paradise Biryani,Biryani,Pune,5,57,299.0,"Momos were steaming hot and chutney was perfect, great combo",Positive
ZR-0130,Box8,Italian,Mumbai,1,60,100.0,"Received completely different restaurant food, mix up ruined our dinner",Negative
ZR-0131,Social,Italian,Jaipur,1,49,457.0,"Found a hair in my food, absolutely disgusting, will never order again",Negative
ZR-0132,Box8,North Indian,Jaipur,5,40,843.0,"Delivery executive was very courteous, food was well packed and tasty",Positive
ZR-0133,Saravana Bhavan,Biryani,Hyderabad,3,21,212.0,Taste was okay but a bit too salty for my preference,Neutral
ZR-0134,Mainland China,Continental,Pune,5,89,1063.0,"Momos were steaming hot and chutney was perfect, great combo",Positive
ZR-0135,Pizza Hut,Biryani,Jaipur,5,35,1164.0,"Fried rice was amazing, portions were huge and price was fair",Positive
ZR-0136,Rebel Foods,Fast Food,Hyderabad,4,87,717.0,"Pizza was crispy and loaded with toppings, delivered before estimated time",Positive
ZR-0137,Chai Point,Italian,Delhi,4,50,497.0,"Woke up craving dosa and this place nailed it, crispy and golden",Positive
ZR-0138,Chai Point,South Indian,Chennai,5,38,1051.0,"Woke up craving dosa and this place nailed it, crispy and golden",Positive
ZR-0139,Behrouz Biryani,Biryani,Delhi,4,26,560.0,"Fresh ingredients, great taste, zero complaints, highly recommended",Positive
ZR-0140,Fasoos,North Indian,Chennai,5,44,1091.0,"Prawns were fresh and gravy was perfectly spiced, excellent seafood",Positive
ZR-0141,Rebel Foods,Mughlai,Delhi,4,27,1083.0,"Sandwich was fresh and tasty, delivery was quick and contactless",Positive
ZR-0142,Barbeque Nation,Mughlai,Jaipur,4,26,1154.0,"Food was absolutely delicious, delivery was super fast and packaging was neat",Positive
ZR-0143,Social,Biryani,Mumbai,5,23,438.0,"Fried rice was amazing, portions were huge and price was fair",Positive
ZR-0144,Box8,Mughlai,Kolkata,5,66,722.0,"Excellent food quality, delivery partner was polite and on time",Positive
ZR-0145,Oven Story,Chinese,Mumbai,4,83,408.0,"Chole bhature were fluffy and spicy, exactly what I was craving",Positive
ZR-0146,Wow Momo,South Indian,Chennai,3,67,967.0,Nothing to complain about but nothing to rave about either,Neutral
ZR-0147,The Beer Cafe,Italian,Kolkata,5,67,634.0,"Excellent food quality, delivery partner was polite and on time",Positive
ZR-0148,Saravana Bhavan,Biryani,Jaipur,1,19,905.0,"Waited 2 hours for delivery, food was cold and looked nothing like photo",Negative
ZR-0149,Chai Point,South Indian,Mumbai,4,89,211.0,"Dessert was incredible, gulab jamun arrived warm and was not too sweet",Positive
ZR-0150,Wow Momo,Chinese,Bangalore,2,88,1017.0,"Food was extremely oily and heavy, felt sick immediately after eating",Negative
ZR-0151,Haldirams,North Indian,Delhi,5,21,557.0,"Quick delivery in just 20 minutes, food was still piping hot",Positive
ZR-0152,Fasoos,Biryani,Jaipur,3,23,1000.0,Acceptable quality but overpriced compared to similar options nearby,Neutral
ZR-0153,Box8,Mughlai,Chennai,5,19,655.0,"Dal makhani tasted just like restaurant, packaging was very secure",Positive
ZR-0154,Haldirams,Italian,Chennai,3,22,499.0,"Got what I ordered, no issues with delivery, food was just okay",Neutral
ZR-0155,Oven Story,Biryani,Delhi,4,31,1141.0,"Excellent food quality, delivery partner was polite and on time",Positive
ZR-0156,Rebel Foods,Mughlai,Chennai,5,18,472.0,"Arrived hot and fresh, taste was amazing, will definitely order again",Neutral
ZR-0157,The Beer Cafe,Biryani,Kolkata,5,33,950.0,"Pasta was cooked perfectly al dente, sauce was rich and creamy",Positive
ZR-0158,Haldirams,North Indian,Bangalore,4,88,1095.0,"Sandwich was fresh and tasty, delivery was quick and contactless",Positive
ZR-0159,Box8,North Indian,Chennai,1,81,364.0,"Delivery bag seal was broken, clearly tampered with, very unsafe",Negative
ZR-0160,Saravana Bhavan,Biryani,Mumbai,4,72,910.0,"Dal makhani tasted just like restaurant, packaging was very secure",Positive
ZR-0161,The Beer Cafe,Mughlai,Delhi,5,53,916.0,"Best biryani I have ever ordered, rice was perfectly cooked and portions were generous",Positive
ZR-0162,Saravana Bhavan,Chinese,Chennai,4,76,528.0,"Delivery executive was very courteous, food was well packed and tasty",Positive
ZR-0163,Social,South Indian,Jaipur,4,39,1053.0,"Dessert was incredible, gulab jamun arrived warm and was not too sweet",Positive
ZR-0164,Mandarin Oak,South Indian,Pune,3,20,978.0,"Neither good nor bad, just a regular meal without any wow factor",Neutral
ZR-0165,Subway,Biryani,Jaipur,5,59,128.0,"Fried rice was amazing, portions were huge and price was fair",Positive
ZR-0166,KFC,South Indian,Jaipur,5,89,1109.0,"Healthy salad bowl was fresh and filling, dressing was perfect",Positive
ZR-0167,Mainland China,North Indian,Kolkata,3,33,1166.0,Taste was okay but a bit too salty for my preference,Neutral
ZR-0168,Paradise Biryani,Fast Food,Hyderabad,4,63,859.0,"Pasta was cooked perfectly al dente, sauce was rich and creamy",Positive
ZR-0169,Chai Point,North Indian,Jaipur,4,68,734.0,"Healthy salad bowl was fresh and filling, dressing was perfect",Positive
ZR-0170,Social,Mughlai,Chennai,5,71,1105.0,"Pizza was crispy and loaded with toppings, delivered before estimated time",Positive
ZR-0171,Pizza Hut,Chinese,Hyderabad,5,30,1077.0,"Excellent food quality, delivery partner was polite and on time",Negative
ZR-0172,Rebel Foods,Italian,Bangalore,4,42,456.0,"Sandwich was fresh and tasty, delivery was quick and contactless",Neutral
ZR-0173,Pizza Hut,Mughlai,Delhi,2,50,599.0,Charged extra on bill compared to what was shown on the menu,Negative
ZR-0174,Social,Mughlai,Kolkata,3,64,378.0,"First time ordering here, food was decent, might try again sometime",Neutral
ZR-0175,Chai Point,Continental,Delhi,3,78,588.0,Delivery was prompt but food quality was just average honestly,Neutral
ZR-0176,Burger King,South Indian,Delhi,1,87,427.0,"Complained about missing item, support just closed the ticket without resolving",Negative
ZR-0177,The Beer Cafe,Fast Food,Kolkata,5,43,229.0,"Healthy salad bowl was fresh and filling, dressing was perfect",Positive
ZR-0178,Saravana Bhavan,Biryani,Chennai,1,20,1144.0,Delivery person was very rude and threw the bag at the door,Negative
ZR-0179,Barbeque Nation,Chinese,Jaipur,5,61,1109.0,"Chole bhature were fluffy and spicy, exactly what I was craving",Positive
ZR-0180,Barbeque Nation,Continental,Pune,1,44,1050.0,"Sweet was so stale it had gone hard, packaging date was fake",Negative
ZR-0181,Wow Momo,Continental,Hyderabad,1,47,951.0,"Order marked delivered but never received, refund process is horrible",Negative
ZR-0182,Subway,Mughlai,Pune,4,63,502.0,"Healthy salad bowl was fresh and filling, dressing was perfect",Positive
ZR-0183,Fasoos,Mughlai,Delhi,5,73,1023.0,"Burger was juicy and well assembled, fries were crispy not soggy",Positive
ZR-0184,Barbeque Nation,South Indian,Pune,5,15,95.0,"Paneer butter masala was outstanding, naan was soft and fresh",Positive
ZR-0185,Oven Story,North Indian,Jaipur,1,83,1200.0,"Packaging was broken, gravy spilled all over the bag, total mess",Negative
ZR-0186,Social,South Indian,Delhi,5,67,735.0,"Dessert was incredible, gulab jamun arrived warm and was not too sweet",Positive
ZR-0187,KFC,South Indian,Kolkata,5,88,1032.0,"Pizza was crispy and loaded with toppings, delivered before estimated time",Positive
ZR-0188,Social,Fast Food,Kolkata,3,92,310.0,"Average experience overall, food was lukewarm when it arrived",Neutral
ZR-0189,Pizza Hut,Italian,Bangalore,3,59,759.0,"Average experience overall, food was lukewarm when it arrived",Neutral
ZR-0190,Rebel Foods,South Indian,Kolkata,3,46,133.0,Delivery was prompt but food quality was just average honestly,Neutral
ZR-0191,Fasoos,North Indian,Chennai,3,53,832.0,Acceptable quality but overpriced compared to similar options nearby,Neutral
ZR-0192,Dominos,Fast Food,Chennai,4,17,663.0,"Fried rice was amazing, portions were huge and price was fair",Positive
ZR-0193,Mandarin Oak,Chinese,Kolkata,5,68,1164.0,"Dessert was incredible, gulab jamun arrived warm and was not too sweet",Positive
ZR-0194,Social,Italian,Kolkata,1,71,741.0,"Pizza was soggy and cold, crust was like cardboard, very disappointing",Negative
ZR-0195,Barbeque Nation,Biryani,Jaipur,4,37,926.0,"Chole bhature were fluffy and spicy, exactly what I was craving",Positive
ZR-0196,Mainland China,Biryani,Jaipur,4,80,982.0,"Pizza was crispy and loaded with toppings, delivered before estimated time",Positive
ZR-0197,Haldirams,Biryani,Pune,5,78,96.0,"Quick delivery in just 20 minutes, food was still piping hot",Positive
ZR-0198,Subway,Italian,Chennai,3,44,701.0,Portion size was small for the price but taste was satisfactory,Neutral
ZR-0199,Saravana Bhavan,Fast Food,Kolkata,1,66,693.0,"Burger patty was raw in the middle, completely unacceptable hygiene",Negative
ZR-0200,Subway,North Indian,Chennai,4,93,524.0,"Fresh ingredients, great taste, zero complaints, highly recommended",Positive
ZR-0201,Pizza Hut,Mughlai,Mumbai,4,65,861.0,"Pizza was crispy and loaded with toppings, delivered before estimated time",Negative
ZR-0202,Chai Point,Italian,Pune,5,24,1118.0,"Healthy salad bowl was fresh and filling, dressing was perfect",Positive
ZR-0203,Fasoos,South Indian,Delhi,4,83,1178.0,"South Indian combo was authentic, sambar and chutney were spot on",Positive
ZR-0204,Oven Story,Fast Food,Mumbai,4,91,314.0,"Fresh ingredients, great taste, zero complaints, highly recommended",Positive
ZR-0205,Mandarin Oak,Continental,Pune,4,89,165.0,"Arrived hot and fresh, taste was amazing, will definitely order again",Positive
ZR-0206,Mandarin Oak,Biryani,Pune,2,69,735.0,"Quantity was extremely less for the price, felt cheated completely",Negative
ZR-0207,KFC,Biryani,Jaipur,4,30,798.0,"Pizza was crispy and loaded with toppings, delivered before estimated time",Positive
ZR-0208,Wow Momo,Chinese,Bangalore,2,70,541.0,"Packaging was broken, gravy spilled all over the bag, total mess",Negative
ZR-0209,Box8,Fast Food,Kolkata,5,41,828.0,"Ordered for office lunch, entire team loved it, will order again",Positive
ZR-0210,Dominos,Mughlai,Bangalore,2,65,126.0,"Waited 2 hours for delivery, food was cold and looked nothing like photo",Negative
ZR-0211,Dominos,Continental,Chennai,2,56,278.0,"Noodles were clumped together in one solid block, clearly overcooked",Negative
ZR-0212,Paradise Biryani,North Indian,Jaipur,1,15,679.0,"Packaging was broken, gravy spilled all over the bag, total mess",Negative
ZR-0213,Box8,Italian,Pune,3,60,488.0,"Tried their special dish, was not as good as described but passable",Neutral
ZR-0214,Rebel Foods,Continental,Chennai,4,59,440.0,"Delivery executive was very courteous, food was well packed and tasty",Positive
ZR-0215,Rebel Foods,Mughlai,Chennai,1,61,783.0,"Wrong order delivered, called customer care but got no response",Positive
ZR-0216,Barbeque Nation,Continental,Delhi,1,77,503.0,"Packaging was broken, gravy spilled all over the bag, total mess",Negative
ZR-0217,Haldirams,Chinese,Kolkata,1,50,983.0,"Spice level was nothing like what was mentioned, food was tasteless",Negative
ZR-0218,Burger King,Continental,Jaipur,5,66,314.0,"Delivery executive was very courteous, food was well packed and tasty",Positive
ZR-0219,Barbeque Nation,Mughlai,Hyderabad,4,28,772.0,"Best biryani I have ever ordered, rice was perfectly cooked and portions were generous",Positive
ZR-0220,Mainland China,Fast Food,Bangalore,3,16,917.0,Delivery was prompt but food quality was just average honestly,Neutral
ZR-0221,Chai Point,Biryani,Kolkata,1,70,229.0,"Food was extremely oily and heavy, felt sick immediately after eating",Negative
ZR-0222,Chai Point,South Indian,Jaipur,5,37,653.0,"Excellent food quality, delivery partner was polite and on time",Positive
ZR-0223,KFC,North Indian,Mumbai,4,32,581.0,"Delivery executive was very courteous, food was well packed and tasty",Positive
ZR-0224,Mainland China,South Indian,Hyderabad,4,29,197.0,"Dal makhani tasted just like restaurant, packaging was very secure",Positive
ZR-0225,Oven Story,Fast Food,Hyderabad,5,42,102.0,"Loved every bite, quantity was good and price was very reasonable",Positive
ZR-0226,Oven Story,Biryani,Mumbai,3,58,341.0,Nothing to complain about but nothing to rave about either,Neutral
ZR-0227,Behrouz Biryani,South Indian,Delhi,3,39,841.0,"Decent meal, not great not terrible, packaging could be improved",Neutral
ZR-0228,Mandarin Oak,North Indian,Pune,5,32,177.0,"Paneer butter masala was outstanding, naan was soft and fresh",Positive
ZR-0229,Box8,South Indian,Kolkata,4,48,705.0,"Pizza was crispy and loaded with toppings, delivered before estimated time",Negative
